#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
40        	4         	ok              	4.4984326700e-06	8.0000000000e+02	7.5946975306e+13	4.0727477698e+13	2.3121080310e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	2.9470517000e-06	8.0000000000e+02	4.9755032201e+13	2.6681733660e+13	2.3121080275e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	1.9306977300e-06	8.0000000000e+02	3.2595942461e+13	1.7479965692e+13	2.3121080254e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	1.2648552200e-06	8.0000000000e+02	2.1354532770e+13	1.1451624720e+13	2.3121080239e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	8.2864277300e-07	8.0000000000e+02	1.3989964195e+13	7.5022863590e+12	2.3121080225e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	5.4286754400e-07	8.0000000000e+02	9.1652250473e+12	4.9149620353e+12	2.3121080210e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	3.5564803100e-07	8.0000000000e+02	6.0044006594e+12	3.2199319882e+12	2.3121080192e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	2.3299518100e-07	8.0000000000e+02	3.9336543299e+12	2.1094693939e+12	2.3121080169e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	1.5264179700e-07	8.0000000000e+02	2.5770492865e+12	1.3819736426e+12	2.3121080140e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	1.0000000000e-07	8.0000000000e+02	1.6882985741e+12	9.0537039645e+11	2.3121080102e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
