#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
34        	4         	ok              	5.6898660300e-05	1.5854161369e+03	4.8333802685e+14	2.5994115454e+14	2.3054784965e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	4         	ok              	3.7275937200e-05	1.5852303148e+03	3.1647455167e+14	1.7031483552e+14	2.3039416105e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	2.4420530900e-05	1.5851084882e+03	2.0717659564e+14	1.1158668776e+14	2.3020431528e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	1.5998587200e-05	1.5850286377e+03	1.3559599706e+14	7.3107308681e+13	2.2997002216e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	1.0481131300e-05	1.5849763089e+03	8.8724138078e+13	4.7896266697e+13	2.2968111099e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	6.8664884500e-06	1.5849420198e+03	5.8036884812e+13	3.1378891051e+13	2.2932513429e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	4.4984326700e-06	1.5849195530e+03	3.7949500323e+13	2.0557499021e+13	2.2888690059e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	2.9470517000e-06	1.5849048330e+03	2.4803488626e+13	1.3467929735e+13	2.2834793134e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	1.9306977300e-06	1.5848951890e+03	1.6202457317e+13	8.8232790730e+12	2.2768584133e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	1.2648552200e-06	1.5848888706e+03	1.0576870403e+13	5.7804051410e+12	2.2687365044e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	8.2864277300e-07	1.5848847312e+03	6.8988505684e+12	3.7869183600e+12	2.2587904876e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	5.4286754400e-07	1.5848820194e+03	4.4953228863e+12	2.4809226051e+12	2.2466365999e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	3.5564803100e-07	1.5848802427e+03	2.9256002931e+12	1.6253250695e+12	2.2318238348e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	2.3299518100e-07	1.5848791122e+03	1.9011924482e+12	1.0647976253e+12	2.2138294537e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	1.5264179700e-07	1.5848784051e+03	1.2332776123e+12	6.9757964433e+11	2.1920588184e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	1.0000000000e-07	1.5848779753e+03	7.9829640167e+11	4.5700446877e+11	2.1658525136e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
