#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
33        	3         	ok              	6.7580093800e-04	1.9095374906e+02	1.0180494437e+19	2.5633439141e+16	2.4190751589e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
34        	3         	ok              	4.7029380200e-04	1.9088180051e+02	7.0864622335e+18	1.7845183137e+16	2.4187713096e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
35        	3         	ok              	3.2728019100e-04	1.9083168950e+02	4.9323210603e+18	1.2421827718e+16	2.4185293336e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
36        	3         	ok              	2.2775618800e-04	1.9079679679e+02	3.4328331789e+18	8.6460030228e+15	2.4183674607e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
37        	3         	ok              	1.5849685500e-04	1.9077250497e+02	2.3891384004e+18	6.0175698996e+15	2.4182701232e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
38        	3         	ok              	1.1029888300e-04	1.9075559542e+02	1.6627258411e+18	4.1880330990e+15	2.4182155059e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
39        	3         	ok              	7.6757634000e-05	1.9074382567e+02	1.1571582402e+18	2.9146564207e+15	2.4181862441e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
40        	3         	ok              	5.3416083800e-05	1.9073563391e+02	8.0530276829e+17	2.0284134632e+15	2.4181710509e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
41        	3         	ok              	3.7172563300e-05	1.9072993269e+02	5.6042987484e+17	1.4116269176e+15	2.4181633300e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
42        	3         	ok              	2.5868602900e-05	1.9072596491e+02	3.9001390965e+17	9.8237981490e+14	2.4181594640e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
43        	3         	ok              	1.8002111200e-05	1.9072320358e+02	2.7141666646e+17	6.8365372427e+14	2.4181575479e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
44        	3         	ok              	1.2527773800e-05	1.9072128190e+02	1.8774116977e+17	4.7576339332e+14	2.3941730846e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
45        	3         	ok              	8.7181506500e-06	1.9071994456e+02	1.3020939189e+17	3.3108883409e+14	2.3808332177e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
46        	3         	ok              	6.0670117200e-06	1.9071901388e+02	9.0463880070e+16	2.3040776877e+14	2.3743219203e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
47        	3         	ok              	4.2220687300e-06	1.9071836621e+02	6.2903712178e+16	1.6034265041e+14	2.3711513053e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
48        	3         	ok              	2.9381621800e-06	1.9071791549e+02	4.3757962684e+16	1.1158364649e+14	2.3696099722e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
49        	3         	ok              	2.0446841400e-06	1.9071760183e+02	3.0445658663e+16	7.7651835915e+13	2.3688615498e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
50        	3         	ok              	1.4229075800e-06	1.9071738355e+02	2.1185372756e+16	5.4038425898e+13	2.3684984322e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
51        	3         	ok              	9.9020966000e-07	1.9071723165e+02	1.4742373655e+16	3.7605684801e+13	2.3683223544e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
52        	3         	ok              	6.8909266000e-07	1.9071712594e+02	1.0259085863e+16	2.6170029218e+13	2.3682370066e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
53        	3         	ok              	4.7954358800e-07	1.9071705237e+02	7.1392849192e+15	1.8211882492e+13	2.3681956482e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
54        	3         	ok              	3.3371717100e-07	1.9071700118e+02	4.9682458201e+15	1.2673758314e+13	2.3681756104e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
55        	3         	ok              	2.3223572000e-07	1.9071696646e+02	3.4574232262e+15	8.8197437192e+12	2.3681659034e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
56        	3         	ok              	1.6161418800e-07	1.9071694320e+02	2.4060383354e+15	6.1377116896e+12	2.3681612015e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
57        	3         	ok              	1.1246825300e-07	1.9071692792e+02	1.6743752268e+15	4.2712695896e+12	2.3681589241e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
